@id,rdf:type,skos:prefLabel,skos:notation,skos:broader,skos:topConceptOf,skos:inScheme,skos:note,dcterms:source,pav:version
anzsic:697,skos:Concept,Veterinary Services,697,anzsic:69,,anzsic:scheme,,,
anzsic:699,skos:Concept,"Other Professional, Scientific and Technical Services",699,anzsic:69,,anzsic:scheme,,,
anzsic:700,skos:Concept,Computer System Design and Related Services,700,anzsic:70,,anzsic:scheme,,,
anzsic:721,skos:Concept,Employment Services,721,anzsic:72,,anzsic:scheme,,,
anzsic:722,skos:Concept,Travel Agency and Tour Arrangement Services,722,anzsic:72,,anzsic:scheme,,,
anzsic:729,skos:Concept,Other Administrative Services,729,anzsic:72,,anzsic:scheme,,,
anzsic:731,skos:Concept,"Building Cleaning, Pest Control and Gardening Services",731,anzsic:73,,anzsic:scheme,,,
anzsic:732,skos:Concept,Packaging Services,732,anzsic:73,,anzsic:scheme,,,
anzsic:751,skos:Concept,Central Government Administration,751,anzsic:75,,anzsic:scheme,,,
anzsic:752,skos:Concept,State Government Administration,752,anzsic:75,,anzsic:scheme,,,
anzsic:753,skos:Concept,Local Government Administration,753,anzsic:75,,anzsic:scheme,,,
anzsic:754,skos:Concept,Justice,754,anzsic:75,,anzsic:scheme,,,
anzsic:755,skos:Concept,Government Representation,755,anzsic:75,,anzsic:scheme,,,
anzsic:760,skos:Concept,Defence,760,anzsic:76,,anzsic:scheme,,,
anzsic:771,skos:Concept,Public Order and Safety Services,771,anzsic:77,,anzsic:scheme,,,
anzsic:772,skos:Concept,Regulatory Services,772,anzsic:77,,anzsic:scheme,,,
anzsic:801,skos:Concept,Preschool Education,801,anzsic:80,,anzsic:scheme,,,
anzsic:802,skos:Concept,School Education,802,anzsic:80,,anzsic:scheme,,,
anzsic:810,skos:Concept,Tertiary Education,810,anzsic:81,,anzsic:scheme,,,
anzsic:821,skos:Concept,"Adult, Community and Other Education",821,anzsic:82,,anzsic:scheme,,,
anzsic:822,skos:Concept,Educational Support Services,822,anzsic:82,,anzsic:scheme,,,
anzsic:840,skos:Concept,Hospitals,840,anzsic:84,,anzsic:scheme,,,
anzsic:851,skos:Concept,Medical Services,851,anzsic:85,,anzsic:scheme,,,
anzsic:852,skos:Concept,Pathology and Diagnostic Imaging Services,852,anzsic:85,,anzsic:scheme,,,
anzsic:853,skos:Concept,Allied Health Services,853,anzsic:85,,anzsic:scheme,,,
anzsic:859,skos:Concept,Other Health Care Services,859,anzsic:85,,anzsic:scheme,,,
anzsic:860,skos:Concept,Residential Care Services,860,anzsic:86,,anzsic:scheme,,,
anzsic:871,skos:Concept,Child Care Services,871,anzsic:87,,anzsic:scheme,,,
anzsic:879,skos:Concept,Other Social Assistance Services,879,anzsic:87,,anzsic:scheme,,,
anzsic:891,skos:Concept,Museum Operation,891,anzsic:89,,anzsic:scheme,,,
anzsic:892,skos:Concept,Parks and Gardens Operations,892,anzsic:89,,anzsic:scheme,,,
anzsic:900,skos:Concept,Creative and Performing Arts Activities,900,anzsic:90,,anzsic:scheme,,,
anzsic:911,skos:Concept,Sports and Physical Recreation Activities,911,anzsic:91,,anzsic:scheme,,,
anzsic:912,skos:Concept,Horse and Dog Racing Activities,912,anzsic:91,,anzsic:scheme,,,
anzsic:913,skos:Concept,Amusement and Other Recreation Activities,913,anzsic:91,,anzsic:scheme,,,
anzsic:920,skos:Concept,Gambling Activities,920,anzsic:92,,anzsic:scheme,,,
anzsic:941,skos:Concept,Automotive Repair and Maintenance,941,anzsic:94,,anzsic:scheme,,,
anzsic:942,skos:Concept,Machinery and Equipment Repair and Maintenance,942,anzsic:94,,anzsic:scheme,,,
anzsic:949,skos:Concept,Other Repair and Maintenance,949,anzsic:94,,anzsic:scheme,,,
anzsic:951,skos:Concept,Personal Care Services,951,anzsic:95,,anzsic:scheme,,,
anzsic:952,skos:Concept,"Funeral, Crematorium and Cemetery Services",952,anzsic:95,,anzsic:scheme,,,
anzsic:953,skos:Concept,Other Personal Services,953,anzsic:95,,anzsic:scheme,,,
anzsic:954,skos:Concept,Religious Services,954,anzsic:95,,anzsic:scheme,,,
anzsic:955,skos:Concept,"Civic, Professional and Other Interest Group Services",955,anzsic:95,,anzsic:scheme,,,
anzsic:960,skos:Concept,Private Households Employing Staff and Undifferentiated Goods- and,960,anzsic:96,,anzsic:scheme,,,
anzsic:0111,skos:Concept,Nursery Production (Under Cover),0111,anzsic:011,,anzsic:scheme,,,
anzsic:0112,skos:Concept,Nursery Production (Outdoors),0112,anzsic:011,,anzsic:scheme,,,
anzsic:0113,skos:Concept,Turf Growing,0113,anzsic:011,,anzsic:scheme,,,
anzsic:0114,skos:Concept,Floriculture Production (Under Cover),0114,anzsic:011,,anzsic:scheme,,,
anzsic:0115,skos:Concept,Floriculture Production (Outdoors),0115,anzsic:011,,anzsic:scheme,,,
anzsic:0121,skos:Concept,Mushroom Growing,0121,anzsic:012,,anzsic:scheme,,,
anzsic:0122,skos:Concept,Vegetable Growing (Under Cover),0122,anzsic:012,,anzsic:scheme,,,
anzsic:0123,skos:Concept,Vegetable Growing (Outdoors),0123,anzsic:012,,anzsic:scheme,,,
anzsic:0131,skos:Concept,Grape Growing,0131,anzsic:013,,anzsic:scheme,,,
anzsic:0132,skos:Concept,Kiwifruit Growing,0132,anzsic:013,,anzsic:scheme,,,
anzsic:0133,skos:Concept,Berry Fruit Growing,0133,anzsic:013,,anzsic:scheme,,,
anzsic:0134,skos:Concept,Apple and Pear Growing,0134,anzsic:013,,anzsic:scheme,,,
anzsic:0135,skos:Concept,Stone Fruit Growing,0135,anzsic:013,,anzsic:scheme,,,
anzsic:0136,skos:Concept,Citrus Fruit Growing,0136,anzsic:013,,anzsic:scheme,,,
anzsic:0137,skos:Concept,Olive Growing,0137,anzsic:013,,anzsic:scheme,,,
anzsic:0139,skos:Concept,Other Fruit and Tree Nut Growing,0139,anzsic:013,,anzsic:scheme,,,
anzsic:0141,skos:Concept,Sheep Farming (Specialised),0141,anzsic:014,,anzsic:scheme,,,
anzsic:0142,skos:Concept,Beef Cattle Farming (Specialised),0142,anzsic:014,,anzsic:scheme,,,
anzsic:0143,skos:Concept,Beef Cattle Feedlots (Specialised),0143,anzsic:014,,anzsic:scheme,,,
anzsic:0144,skos:Concept,Sheep-Beef Cattle Farming,0144,anzsic:014,,anzsic:scheme,,,
anzsic:0145,skos:Concept,Grain-Sheep or Grain-Beef Cattle Farming,0145,anzsic:014,,anzsic:scheme,,,
anzsic:0146,skos:Concept,Rice Growing,0146,anzsic:014,,anzsic:scheme,,,
anzsic:0149,skos:Concept,Other Grain Growing,0149,anzsic:014,,anzsic:scheme,,,
anzsic:0151,skos:Concept,Sugar Cane Growing,0151,anzsic:015,,anzsic:scheme,,,
anzsic:0152,skos:Concept,Cotton Growing,0152,anzsic:015,,anzsic:scheme,,,
anzsic:0159,skos:Concept,Other Crop Growing n.e.c.,0159,anzsic:015,,anzsic:scheme,,,
anzsic:0160,skos:Concept,Dairy Cattle Farming,0160,anzsic:016,,anzsic:scheme,,,
anzsic:0171,skos:Concept,Poultry Farming (Meat),0171,anzsic:017,,anzsic:scheme,,,
anzsic:0172,skos:Concept,Poultry Farming (Eggs),0172,anzsic:017,,anzsic:scheme,,,
anzsic:0180,skos:Concept,Deer Farming,0180,anzsic:018,,anzsic:scheme,,,
anzsic:0191,skos:Concept,Horse Farming,0191,anzsic:019,,anzsic:scheme,,,
anzsic:0192,skos:Concept,Pig Farming,0192,anzsic:019,,anzsic:scheme,,,
anzsic:0193,skos:Concept,Beekeeping,0193,anzsic:019,,anzsic:scheme,,,
anzsic:0199,skos:Concept,Other Livestock Farming n.e.c.,0199,anzsic:019,,anzsic:scheme,,,
anzsic:0201,skos:Concept,Offshore Longline and Rack Aquaculture,0201,anzsic:020,,anzsic:scheme,,,
anzsic:0202,skos:Concept,Offshore Caged Aquaculture,0202,anzsic:020,,anzsic:scheme,,,
anzsic:0203,skos:Concept,Onshore Aquaculture,0203,anzsic:020,,anzsic:scheme,,,
anzsic:0301,skos:Concept,Forestry,0301,anzsic:030,,anzsic:scheme,,,
anzsic:0302,skos:Concept,Logging,0302,anzsic:030,,anzsic:scheme,,,
anzsic:0411,skos:Concept,Rock Lobster and Crab Potting,0411,anzsic:041,,anzsic:scheme,,,
anzsic:0412,skos:Concept,Prawn Fishing,0412,anzsic:041,,anzsic:scheme,,,
anzsic:0413,skos:Concept,Line Fishing,0413,anzsic:041,,anzsic:scheme,,,
anzsic:0414,skos:Concept,"Fish Trawling, Seining and Netting",0414,anzsic:041,,anzsic:scheme,,,
anzsic:0419,skos:Concept,Other Fishing,0419,anzsic:041,,anzsic:scheme,,,
anzsic:0420,skos:Concept,Hunting and Trapping,0420,anzsic:042,,anzsic:scheme,,,
anzsic:0510,skos:Concept,Forestry Support Services,0510,anzsic:051,,anzsic:scheme,,,
anzsic:0521,skos:Concept,Cotton Ginning,0521,anzsic:052,,anzsic:scheme,,,
anzsic:0522,skos:Concept,Shearing Services,0522,anzsic:052,,anzsic:scheme,,,
anzsic:0529,skos:Concept,Other Agriculture and Fishing Support Services,0529,anzsic:052,,anzsic:scheme,,,
anzsic:0600,skos:Concept,Coal Mining,0600,anzsic:060,,anzsic:scheme,,,
anzsic:0700,skos:Concept,Oil and Gas Extraction,0700,anzsic:070,,anzsic:scheme,,,
anzsic:0801,skos:Concept,Iron Ore Mining,0801,anzsic:080,,anzsic:scheme,,,
anzsic:0802,skos:Concept,Bauxite Mining,0802,anzsic:080,,anzsic:scheme,,,
anzsic:0803,skos:Concept,Copper Ore Mining,0803,anzsic:080,,anzsic:scheme,,,
anzsic:0804,skos:Concept,Gold Ore Mining,0804,anzsic:080,,anzsic:scheme,,,
anzsic:0805,skos:Concept,Mineral Sand Mining,0805,anzsic:080,,anzsic:scheme,,,
anzsic:0806,skos:Concept,Nickel Ore Mining,0806,anzsic:080,,anzsic:scheme,,,
anzsic:0807,skos:Concept,Silver-Lead-Zinc Ore Mining,0807,anzsic:080,,anzsic:scheme,,,
anzsic:0809,skos:Concept,Other Metal Ore Mining,0809,anzsic:080,,anzsic:scheme,,,
anzsic:0911,skos:Concept,Gravel and Sand Quarrying,0911,anzsic:091,,anzsic:scheme,,,
anzsic:0919,skos:Concept,Other Construction Material Mining,0919,anzsic:091,,anzsic:scheme,,,
anzsic:0990,skos:Concept,Other Non-Metallic Mineral Mining and Quarrying,0990,anzsic:099,,anzsic:scheme,,,
anzsic:1011,skos:Concept,Petroleum Exploration,1011,anzsic:101,,anzsic:scheme,,,
anzsic:1012,skos:Concept,Mineral Exploration,1012,anzsic:101,,anzsic:scheme,,,
anzsic:1090,skos:Concept,Other Mining Support Services,1090,anzsic:109,,anzsic:scheme,,,
anzsic:1111,skos:Concept,Meat Processing,1111,anzsic:111,,anzsic:scheme,,,
anzsic:1112,skos:Concept,Poultry Processing,1112,anzsic:111,,anzsic:scheme,,,
anzsic:1113,skos:Concept,Cured Meat and Smallgoods Manufacturing,1113,anzsic:111,,anzsic:scheme,,,
anzsic:1120,skos:Concept,Seafood Processing,1120,anzsic:112,,anzsic:scheme,,,
anzsic:1131,skos:Concept,Milk and Cream Processing,1131,anzsic:113,,anzsic:scheme,,,
anzsic:1132,skos:Concept,Ice Cream Manufacturing,1132,anzsic:113,,anzsic:scheme,,,
anzsic:1133,skos:Concept,Cheese and Other Dairy Product Manufacturing,1133,anzsic:113,,anzsic:scheme,,,
anzsic:1140,skos:Concept,Fruit and Vegetable Processing,1140,anzsic:114,,anzsic:scheme,,,
anzsic:1150,skos:Concept,Oil and Fat Manufacturing,1150,anzsic:115,,anzsic:scheme,,,
anzsic:1161,skos:Concept,Grain Mill Product Manufacturing,1161,anzsic:116,,anzsic:scheme,,,
anzsic:1162,skos:Concept,"Cereal, Pasta and Baking Mix Manufacturing",1162,anzsic:116,,anzsic:scheme,,,
anzsic:1171,skos:Concept,Bread Manufacturing (Factory based),1171,anzsic:117,,anzsic:scheme,,,
anzsic:1172,skos:Concept,Cake and Pastry Manufacturing (Factory based),1172,anzsic:117,,anzsic:scheme,,,
anzsic:1173,skos:Concept,Biscuit Manufacturing (Factory based),1173,anzsic:117,,anzsic:scheme,,,
anzsic:1174,skos:Concept,Bakery Product Manufacturing (Non-factory based),1174,anzsic:117,,anzsic:scheme,,,
anzsic:1181,skos:Concept,Sugar Manufacturing,1181,anzsic:118,,anzsic:scheme,,,
anzsic:1182,skos:Concept,Confectionery Manufacturing,1182,anzsic:118,,anzsic:scheme,,,
anzsic:1191,skos:Concept,"Potato, Corn and Other Crisp Manufacturing",1191,anzsic:119,,anzsic:scheme,,,
anzsic:1192,skos:Concept,Prepared Animal and Bird Feed Manufacturing,1192,anzsic:119,,anzsic:scheme,,,
anzsic:1199,skos:Concept,Other Food Product Manufacturing n.e.c.,1199,anzsic:119,,anzsic:scheme,,,
anzsic:1211,skos:Concept,"Soft Drink, Cordial and Syrup Manufacturing",1211,anzsic:121,,anzsic:scheme,,,
anzsic:1212,skos:Concept,Beer Manufacturing,1212,anzsic:121,,anzsic:scheme,,,
anzsic:1213,skos:Concept,Spirit Manufacturing,1213,anzsic:121,,anzsic:scheme,,,
anzsic:1214,skos:Concept,Wine and Other Alcoholic Beverage Manufacturing,1214,anzsic:121,,anzsic:scheme,,,
anzsic:1220,skos:Concept,Cigarette and Tobacco Product Manufacturing,1220,anzsic:122,,anzsic:scheme,,,
anzsic:1311,skos:Concept,Wool Scouring,1311,anzsic:131,,anzsic:scheme,,,
anzsic:1312,skos:Concept,Natural Textile Manufacturing,1312,anzsic:131,,anzsic:scheme,,,
anzsic:1313,skos:Concept,Synthetic Textile Manufacturing,1313,anzsic:131,,anzsic:scheme,,,
anzsic:1320,skos:Concept,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",1320,anzsic:132,,anzsic:scheme,,,
anzsic:1331,skos:Concept,Textile Floor Covering Manufacturing,1331,anzsic:133,,anzsic:scheme,,,
anzsic:1332,skos:Concept,"Rope, Cordage and Twine Manufacturing",1332,anzsic:133,,anzsic:scheme,,,
anzsic:1333,skos:Concept,Cut and Sewn Textile Product Manufacturing,1333,anzsic:133,,anzsic:scheme,,,
anzsic:1334,skos:Concept,Textile Finishing and Other Textile Product Manufacturing,1334,anzsic:133,,anzsic:scheme,,,
anzsic:1340,skos:Concept,Knitted Product Manufacturing,1340,anzsic:134,,anzsic:scheme,,,
anzsic:1351,skos:Concept,Clothing Manufacturing,1351,anzsic:135,,anzsic:scheme,,,
anzsic:1352,skos:Concept,Footwear Manufacturing,1352,anzsic:135,,anzsic:scheme,,,
anzsic:1411,skos:Concept,Log Sawmilling,1411,anzsic:141,,anzsic:scheme,,,
anzsic:1412,skos:Concept,Wood Chipping,1412,anzsic:141,,anzsic:scheme,,,
anzsic:1413,skos:Concept,Timber Resawing and Dressing,1413,anzsic:141,,anzsic:scheme,,,
anzsic:1491,skos:Concept,Prefabricated Wooden Building Manufacturing,1491,anzsic:149,,anzsic:scheme,,,
anzsic:1492,skos:Concept,Wooden Structural Fitting and Component Manufacturing,1492,anzsic:149,,anzsic:scheme,,,
anzsic:1493,skos:Concept,Veneer and Plywood Manufacturing,1493,anzsic:149,,anzsic:scheme,,,
anzsic:1494,skos:Concept,Reconstituted Wood Product Manufacturing,1494,anzsic:149,,anzsic:scheme,,,
anzsic:1499,skos:Concept,Other Wood Product Manufacturing n.e.c.,1499,anzsic:149,,anzsic:scheme,,,
anzsic:1510,skos:Concept,"Pulp, Paper and Paperboard Manufacturing",1510,anzsic:151,,anzsic:scheme,,,
anzsic:1521,skos:Concept,Corrugated Paperboard and Paperboard Container Manufacturing,1521,anzsic:152,,anzsic:scheme,,,
anzsic:1522,skos:Concept,Paper Bag Manufacturing,1522,anzsic:152,,anzsic:scheme,,,
anzsic:1523,skos:Concept,Paper Stationery Manufacturing,1523,anzsic:152,,anzsic:scheme,,,
anzsic:1524,skos:Concept,Sanitary Paper Product Manufacturing,1524,anzsic:152,,anzsic:scheme,,,
anzsic:1529,skos:Concept,Other Converted Paper Product Manufacturing,1529,anzsic:152,,anzsic:scheme,,,
anzsic:1611,skos:Concept,Printing,1611,anzsic:161,,anzsic:scheme,,,
anzsic:1612,skos:Concept,Printing Support Services,1612,anzsic:161,,anzsic:scheme,,,
anzsic:1620,skos:Concept,Reproduction of Recorded Media,1620,anzsic:162,,anzsic:scheme,,,
anzsic:1701,skos:Concept,Petroleum Refining and Petroleum Fuel Manufacturing,1701,anzsic:170,,anzsic:scheme,,,
anzsic:1709,skos:Concept,Other Petroleum and Coal Product Manufacturing,1709,anzsic:170,,anzsic:scheme,,,
anzsic:1811,skos:Concept,Industrial Gas Manufacturing,1811,anzsic:181,,anzsic:scheme,,,
anzsic:1812,skos:Concept,Basic Organic Chemical Manufacturing,1812,anzsic:181,,anzsic:scheme,,,
anzsic:1813,skos:Concept,Basic Inorganic Chemical Manufacturing,1813,anzsic:181,,anzsic:scheme,,,
anzsic:1821,skos:Concept,Synthetic Resin and Synthetic Rubber Manufacturing,1821,anzsic:182,,anzsic:scheme,,,
anzsic:1829,skos:Concept,Other Basic Polymer Manufacturing,1829,anzsic:182,,anzsic:scheme,,,
anzsic:1831,skos:Concept,Fertiliser Manufacturing,1831,anzsic:183,,anzsic:scheme,,,
anzsic:1832,skos:Concept,Pesticide Manufacturing,1832,anzsic:183,,anzsic:scheme,,,
anzsic:1841,skos:Concept,Human Pharmaceutical and Medicinal Product Manufacturing,1841,anzsic:184,,anzsic:scheme,,,
anzsic:1842,skos:Concept,Veterinary Pharmaceutical and Medicinal Product Manufacturing,1842,anzsic:184,,anzsic:scheme,,,
anzsic:1851,skos:Concept,Cleaning Compound Manufacturing,1851,anzsic:185,,anzsic:scheme,,,
anzsic:1852,skos:Concept,Cosmetic and Toiletry Preparation Manufacturing,1852,anzsic:185,,anzsic:scheme,,,
anzsic:1891,skos:Concept,Photographic Chemical Product Manufacturing,1891,anzsic:189,,anzsic:scheme,,,
anzsic:1892,skos:Concept,Explosive Manufacturing,1892,anzsic:189,,anzsic:scheme,,,
anzsic:1899,skos:Concept,Other Basic Chemical Product Manufacturing n.e.c.,1899,anzsic:189,,anzsic:scheme,,,
anzsic:1911,skos:Concept,Polymer Film and Sheet Packaging Material Manufacturing,1911,anzsic:191,,anzsic:scheme,,,
anzsic:1912,skos:Concept,Rigid and Semi-Rigid Polymer Product Manufacturing,1912,anzsic:191,,anzsic:scheme,,,
anzsic:1913,skos:Concept,Polymer Foam Product Manufacturing,1913,anzsic:191,,anzsic:scheme,,,
anzsic:1914,skos:Concept,Tyre Manufacturing,1914,anzsic:191,,anzsic:scheme,,,
anzsic:1915,skos:Concept,Adhesive Manufacturing,1915,anzsic:191,,anzsic:scheme,,,
anzsic:1916,skos:Concept,Paint and Coatings Manufacturing,1916,anzsic:191,,anzsic:scheme,,,
anzsic:1919,skos:Concept,Other Polymer Product Manufacturing,1919,anzsic:191,,anzsic:scheme,,,
anzsic:1920,skos:Concept,Natural Rubber Product Manufacturing,1920,anzsic:192,,anzsic:scheme,,,
anzsic:2010,skos:Concept,Glass and Glass Product Manufacturing,2010,anzsic:201,,anzsic:scheme,,,
anzsic:2021,skos:Concept,Clay Brick Manufacturing,2021,anzsic:202,,anzsic:scheme,,,
anzsic:2029,skos:Concept,Other Ceramic Product Manufacturing,2029,anzsic:202,,anzsic:scheme,,,
anzsic:2031,skos:Concept,Cement and Lime Manufacturing,2031,anzsic:203,,anzsic:scheme,,,
anzsic:2032,skos:Concept,Plaster Product Manufacturing,2032,anzsic:203,,anzsic:scheme,,,
anzsic:2033,skos:Concept,Ready-Mixed Concrete Manufacturing,2033,anzsic:203,,anzsic:scheme,,,
anzsic:2034,skos:Concept,Concrete Product Manufacturing,2034,anzsic:203,,anzsic:scheme,,,
anzsic:2090,skos:Concept,Other Non-Metallic Mineral Product Manufacturing,2090,anzsic:209,,anzsic:scheme,,,
anzsic:2110,skos:Concept,Iron Smelting and Steel Manufacturing,2110,anzsic:211,,anzsic:scheme,,,
anzsic:2121,skos:Concept,Iron and Steel Casting,2121,anzsic:212,,anzsic:scheme,,,
anzsic:2122,skos:Concept,Steel Pipe and Tube Manufacturing,2122,anzsic:212,,anzsic:scheme,,,
anzsic:2131,skos:Concept,Alumina Production,2131,anzsic:213,,anzsic:scheme,,,
anzsic:2132,skos:Concept,Aluminium Smelting,2132,anzsic:213,,anzsic:scheme,,,
anzsic:2133,skos:Concept,"Copper, Silver, Lead and Zinc Smelting and Refining",2133,anzsic:213,,anzsic:scheme,,,
anzsic:2139,skos:Concept,Other Basic Non-Ferrous Metal Manufacturing,2139,anzsic:213,,anzsic:scheme,,,
anzsic:2141,skos:Concept,Non-Ferrous Metal Casting,2141,anzsic:214,,anzsic:scheme,,,
anzsic:2142,skos:Concept,"Aluminium Rolling, Drawing, Extruding",2142,anzsic:214,,anzsic:scheme,,,
anzsic:2149,skos:Concept,Other Basic Non-Ferrous Metal Product Manufacturing,2149,anzsic:214,,anzsic:scheme,,,
anzsic:2210,skos:Concept,Iron and Steel Forging,2210,anzsic:221,,anzsic:scheme,,,
anzsic:2221,skos:Concept,Structural Steel Fabricating,2221,anzsic:222,,anzsic:scheme,,,
anzsic:2222,skos:Concept,Prefabricated Metal Building Manufacturing,2222,anzsic:222,,anzsic:scheme,,,
anzsic:2223,skos:Concept,Architectural Aluminium Product Manufacturing,2223,anzsic:222,,anzsic:scheme,,,
anzsic:2224,skos:Concept,Metal Roof and Guttering Manufacturing (except Aluminium),2224,anzsic:222,,anzsic:scheme,,,
anzsic:2229,skos:Concept,Other Structural Metal Product Manufacturing,2229,anzsic:222,,anzsic:scheme,,,
anzsic:2231,skos:Concept,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",2231,anzsic:223,,anzsic:scheme,,,
anzsic:2239,skos:Concept,Other Metal Container Manufacturing,2239,anzsic:223,,anzsic:scheme,,,
anzsic:2240,skos:Concept,Sheet Metal Product Manufacturing (except Metal Structural and Container,2240,anzsic:224,,anzsic:scheme,,,
anzsic:2291,skos:Concept,Spring and Wire Product Manufacturing,2291,anzsic:229,,anzsic:scheme,,,
anzsic:2292,skos:Concept,"Nut, Bolt, Screw and Rivet Manufacturing",2292,anzsic:229,,anzsic:scheme,,,
anzsic:2293,skos:Concept,Metal Coating and Finishing,2293,anzsic:229,,anzsic:scheme,,,
anzsic:2299,skos:Concept,Other Fabricated Metal Product Manufacturing n.e.c.,2299,anzsic:229,,anzsic:scheme,,,
anzsic:2311,skos:Concept,Motor Vehicle Manufacturing,2311,anzsic:231,,anzsic:scheme,,,
anzsic:2312,skos:Concept,Motor Vehicle Body and Trailer Manufacturing,2312,anzsic:231,,anzsic:scheme,,,
anzsic:2313,skos:Concept,Automotive Electrical Component Manufacturing,2313,anzsic:231,,anzsic:scheme,,,
anzsic:2319,skos:Concept,Other Motor Vehicle Parts Manufacturing,2319,anzsic:231,,anzsic:scheme,,,
anzsic:2391,skos:Concept,Shipbuilding and Repair Services,2391,anzsic:239,,anzsic:scheme,,,
anzsic:2392,skos:Concept,Boatbuilding and Repair Services,2392,anzsic:239,,anzsic:scheme,,,
anzsic:2393,skos:Concept,Railway Rolling Stock Manufacturing and Repair Services,2393,anzsic:239,,anzsic:scheme,,,
anzsic:2394,skos:Concept,Aircraft Manufacturing and Repair Services,2394,anzsic:239,,anzsic:scheme,,,
anzsic:2399,skos:Concept,Other Transport Equipment Manufacturing n.e.c.,2399,anzsic:239,,anzsic:scheme,,,
anzsic:2411,skos:Concept,"Photographic, Optical and Ophthalmic Equipment Manufacturing",2411,anzsic:241,,anzsic:scheme,,,
anzsic:2412,skos:Concept,Medical and Surgical Equipment Manufacturing,2412,anzsic:241,,anzsic:scheme,,,
anzsic:2419,skos:Concept,Other Professional and Scientific Equipment Manufacturing,2419,anzsic:241,,anzsic:scheme,,,
anzsic:2421,skos:Concept,Computer and Electronic Office Equipment Manufacturing,2421,anzsic:242,,anzsic:scheme,,,
anzsic:2422,skos:Concept,Communication Equipment Manufacturing,2422,anzsic:242,,anzsic:scheme,,,
anzsic:2429,skos:Concept,Other Electronic Equipment Manufacturing,2429,anzsic:242,,anzsic:scheme,,,
anzsic:2431,skos:Concept,Electric Cable and Wire Manufacturing,2431,anzsic:243,,anzsic:scheme,,,
anzsic:2432,skos:Concept,Electric Lighting Equipment Manufacturing,2432,anzsic:243,,anzsic:scheme,,,
anzsic:2439,skos:Concept,Other Electrical Equipment Manufacturing,2439,anzsic:243,,anzsic:scheme,,,
anzsic:2441,skos:Concept,Whiteware Appliance Manufacturing,2441,anzsic:244,,anzsic:scheme,,,
anzsic:2449,skos:Concept,Other Domestic Appliance Manufacturing,2449,anzsic:244,,anzsic:scheme,,,
anzsic:2451,skos:Concept,Pump and Compressor Manufacturing,2451,anzsic:245,,anzsic:scheme,,,
anzsic:2452,skos:Concept,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",2452,anzsic:245,,anzsic:scheme,,,
anzsic:2461,skos:Concept,Agricultural Machinery and Equipment Manufacturing,2461,anzsic:246,,anzsic:scheme,,,
anzsic:2462,skos:Concept,Mining and Construction Machinery Manufacturing,2462,anzsic:246,,anzsic:scheme,,,
anzsic:2463,skos:Concept,Machine Tool and Parts Manufacturing,2463,anzsic:246,,anzsic:scheme,,,
anzsic:2469,skos:Concept,Other Specialised Machinery and Equipment Manufacturing,2469,anzsic:246,,anzsic:scheme,,,
anzsic:2491,skos:Concept,Lifting and Material Handling Equipment Manufacturing,2491,anzsic:249,,anzsic:scheme,,,
anzsic:2499,skos:Concept,Other Machinery and Equipment Manufacturing n.e.c.,2499,anzsic:249,,anzsic:scheme,,,
anzsic:2511,skos:Concept,Wooden Furniture and Upholstered Seat Manufacturing,2511,anzsic:251,,anzsic:scheme,,,
anzsic:2512,skos:Concept,Metal Furniture Manufacturing,2512,anzsic:251,,anzsic:scheme,,,
anzsic:2513,skos:Concept,Mattress Manufacturing,2513,anzsic:251,,anzsic:scheme,,,
anzsic:2519,skos:Concept,Other Furniture Manufacturing,2519,anzsic:251,,anzsic:scheme,,,
anzsic:2591,skos:Concept,Jewellery and Silverware Manufacturing,2591,anzsic:259,,anzsic:scheme,,,
anzsic:2592,skos:Concept,"Toy, Sporting and Recreational Product Manufacturing",2592,anzsic:259,,anzsic:scheme,,,
anzsic:2599,skos:Concept,Other Manufacturing n.e.c.,2599,anzsic:259,,anzsic:scheme,,,
anzsic:2611,skos:Concept,Fossil Fuel Electricity Generation,2611,anzsic:261,,anzsic:scheme,,,
anzsic:2612,skos:Concept,Hydro-Electricity Generation,2612,anzsic:261,,anzsic:scheme,,,
anzsic:2619,skos:Concept,Other Electricity Generation,2619,anzsic:261,,anzsic:scheme,,,
anzsic:2620,skos:Concept,Electricity Transmission,2620,anzsic:262,,anzsic:scheme,,,
anzsic:2630,skos:Concept,Electricity Distribution,2630,anzsic:263,,anzsic:scheme,,,
anzsic:2640,skos:Concept,On Selling Electricity and Electricity Market Operation,2640,anzsic:264,,anzsic:scheme,,,
anzsic:2700,skos:Concept,Gas Supply,2700,anzsic:270,,anzsic:scheme,,,
anzsic:2811,skos:Concept,Water Supply,2811,anzsic:281,,anzsic:scheme,,,
anzsic:2812,skos:Concept,Sewerage and Drainage Services,2812,anzsic:281,,anzsic:scheme,,,
anzsic:2911,skos:Concept,Solid Waste Collection Services,2911,anzsic:291,,anzsic:scheme,,,
anzsic:2919,skos:Concept,Other Waste Collection Services,2919,anzsic:291,,anzsic:scheme,,,
anzsic:2921,skos:Concept,Waste Treatment and Disposal Services,2921,anzsic:292,,anzsic:scheme,,,
anzsic:2922,skos:Concept,Waste Remediation and Materials Recovery Services,2922,anzsic:292,,anzsic:scheme,,,
